Employee_ID,Name,Department,Sub_Team,Total_Weekly_Hours,Overtime_Hours,Projects_Completed,Avg_Days_Early,Value_Score
EMP9841,Jessica Harris,Sales,Enterprise,52,12,9,-0.1,113.5
EMP6818,Barbara Moore,Sales,SMB,40,0,2,0.6,23
EMP7301,Linda Anderson,Sales,SMB,40,0,3,0.4,32
EMP1308,James Johnson,Sales,SMB,53,13,10,-0.3,124.5
EMP9228,David Jones,Sales,SMB,42,2,9,0.2,95
EMP6737,William White,Sales,SMB,40,0,4,0.4,42
EMP1879,Linda Smith,Sales,SMB,40,0,6,-0.9,55.5
EMP1541,Michael Smith,Sales,SMB,50,10,3,3.5,67.5
EMP4762,Jennifer Wilson,Sales,SMB,57,17,9,5.8,153
EMP9941,Susan Smith,Sales,Business Development,41,1,2,1.2,28
EMP4382,Michael Martinez,Sales,Business Development,43,3,6,1,71
EMP1634,Robert Wilson,Sales,Business Development,40,0,6,-1,55
EMP7637,Joseph Davis,Sales,Business Development,58,18,1,0.1,46.5
EMP6803,Mary Garcia,Sales,Business Development,40,0,1,2.1,20.5
EMP5717,Patricia Jones,Sales,Business Development,45,5,10,1.2,116
EMP7397,Jennifer Williams,Sales,Business Development,40,0,3,-1.4,23
EMP6146,James Davis,Sales,Business Development,55,15,3,0.7,63.5
EMP1812,James Thompson,Sales,Business Development,40,0,4,1.1,45.5
EMP9971,Sarah Martin,Sales,Business Development,49,9,4,0.8,62
EMP1066,Richard Davis,Sales,Business Development,50,10,10,1.6,128
EMP8733,Charles Garcia,Sales,Business Development,45,5,7,-3.6,62
EMP7658,Michael Johnson,Sales,Business Development,45,5,8,-1.1,84.5
EMP1854,Jennifer Thompson,Marketing,Content,46,6,10,2.7,125.5
EMP2425,Jessica Anderson,Marketing,Content,53,13,2,0.3,47.5
EMP9108,Robert Jones,Marketing,Content,58,18,5,3.1,101.5
EMP7796,Robert Wilson,Marketing,Content,51,11,4,1.1,67.5
EMP1376,Joseph Martin,Marketing,Content,75,35,4,1.4,117
EMP2465,Michael Anderson,Marketing,Content,43,3,2,-1.9,16.5
EMP3379,David Moore,Marketing,Content,49,9,9,2.5,120.5
EMP5295,Linda Miller,Marketing,Content,46,6,9,-0.9,97.5
EMP4068,Karen Taylor,Marketing,Content,40,0,2,-0.1,19.5
EMP9698,David Jackson,Marketing,Content,49,9,7,1.5,95.5
EMP4740,Michael Garcia,Marketing,SEO,40,0,10,-0.9,95.5
EMP4534,Jessica Miller,Marketing,SEO,46,6,2,4.7,55.5
EMP8425,David Wilson,Marketing,SEO,41,1,10,3.5,119.5
EMP8838,Jennifer Jones,Marketing,SEO,48,8,7,0.8,90
EMP3883,Richard Harris,Marketing,SEO,48,8,2,4.6,59
EMP6529,Linda Smith,Marketing,SEO,41,1,10,1.1,107.5
EMP7550,Susan Williams,Marketing,SEO,48,8,10,2.2,127
EMP9419,Sarah White,Marketing,SEO,60,20,10,4.4,162
EMP9768,Joseph Davis,Marketing,SEO,48,8,2,-0.4,34
EMP9934,Thomas Taylor,Marketing,SEO,59,19,4,2.3,89.5
EMP4545,Sarah Taylor,Marketing,Social Media,47,7,5,5.7,92.5
EMP7995,Michael Garcia,Marketing,Social Media,40,0,4,-3,25
EMP1019,Linda Taylor,Marketing,Social Media,40,0,4,3,55
EMP6020,Jennifer Smith,Marketing,Social Media,61,21,9,-0.3,130.5
EMP2436,Thomas Anderson,Marketing,Social Media,47,7,3,3.3,60.5
EMP4601,Joseph Wilson,Marketing,Product Marketing,40,0,1,2,20
EMP8430,Elizabeth Taylor,Marketing,Product Marketing,48,8,8,1.6,104
EMP4192,Joseph Davis,Marketing,Product Marketing,40,0,5,-0.3,48.5
EMP3094,James Garcia,Marketing,Product Marketing,42,2,6,0.8,68
EMP3889,David Davis,Marketing,Product Marketing,40,0,6,1.9,69.5
EMP3507,Michael Martin,Finance,Accounting,58,18,9,1.4,133
EMP5237,David Taylor,Finance,Accounting,58,18,10,0,136
EMP1398,Karen Anderson,Finance,Accounting,40,0,6,-4.2,39
EMP5108,Linda Martinez,Finance,Accounting,40,0,3,-1.1,24.5
EMP1438,Robert Brown,Finance,Accounting,41,1,7,5,97
EMP7162,Thomas Jones,Finance,FP&A,44,4,5,0,58
EMP9105,Jessica Thomas,Finance,FP&A,42,2,9,-2.7,80.5
EMP8682,James Brown,Finance,FP&A,40,0,9,-0.3,88.5
EMP2393,David Johnson,Finance,FP&A,40,0,5,-1.6,42
EMP1321,Michael Thompson,Finance,FP&A,40,0,2,1.1,25.5
EMP6238,Susan Garcia,Finance,FP&A,51,11,10,2.4,134
EMP3626,Barbara Johnson,Finance,FP&A,67,27,4,-0.6,91
EMP8720,James Jones,Finance,FP&A,44,4,3,-1.6,30
EMP6184,Karen Johnson,Finance,FP&A,40,0,4,-1.4,33
EMP3133,Richard Taylor,Finance,FP&A,48,8,10,-0.3,114.5
EMP9035,Barbara Thomas,Finance,Tax,40,0,1,0.7,13.5
EMP8119,Karen Harris,Finance,Tax,52,12,6,-0.9,79.5
EMP7772,Thomas Miller,Finance,Tax,40,0,4,0,40
EMP6673,Richard Miller,Finance,Tax,40,0,3,-4.5,7.5
EMP7112,Patricia Wilson,Finance,Tax,43,3,7,3.4,93
EMP6924,Michael Brown,Finance,Tax,47,7,9,-1.3,97.5
EMP7352,James Johnson,Finance,Tax,40,0,7,0.2,71
EMP7942,Karen Brown,Finance,Tax,44,4,9,-0.1,97.5
EMP2331,Michael Smith,Finance,Tax,45,5,10,3,125
EMP5329,William Harris,Finance,Tax,44,4,9,-2.1,87.5
EMP3734,William Anderson,Finance,Tax,42,2,1,-0.4,12
EMP1664,James Williams,Finance,Tax,40,0,9,3.4,107
EMP6343,John Garcia,Finance,Tax,57,17,5,1.7,92.5
EMP9415,Barbara Smith,Finance,Tax,40,0,8,1.2,86
EMP5819,Barbara Smith,Finance,Tax,40,0,7,0.8,74
